Date,Close QCOM,High QCOM,Low QCOM,Open QCOM,Volume QCOM
2019-01-02,48.98634338378906,49.49839443782595,47.72327804015448,47.96223802017408,9896600
2019-01-03,47.5355224609375,48.5084213092288,47.38190651062405,47.7488775857572,14422200
2019-01-04,48.30360794067383,48.49989755689067,47.117353746938235,48.21826717709025,14177300
2019-01-07,48.16706085205078,48.78152476868785,47.7488865519828,48.12439047018242,12352000
2019-01-08,47.74888610839844,48.542567574834244,47.45872295663114,48.39748437117988,12110000
2019-01-09,48.312137603759766,48.738847876528475,47.911028905584054,48.01343845949705,10971000
2019-01-10,48.47428512573242,48.63643710888425,47.87689010765613,47.95369808505938,10958200
2019-01-11,49.07167053222656,49.64346060881229,48.073170277099734,48.19264860620479,12024300
2019-01-14,48.9009895324707,49.19968863351323,48.10730827951912,48.662032856069125,9449400
2019-01-15,47.56111526489258,48.98632892879057,47.416035369424414,48.91805373877714,17423400
2019-01-16,47.16854476928711,47.85981644873025,47.07466800664837,47.57818616081403,13856000
2019-01-17,46.7418327331543,47.10880374231526,46.400463292596115,46.91251745343339,18365000
2019-01-18,47.16854476928711,47.70620051996511,46.92958810478151,47.270954303283744,28020000
2019-01-22,46.33219909667969,46.92959408966932,46.033499972414475,46.91252528923638,17867500
2019-01-23,44.181583404541016,45.71773978308273,43.712202741033984,45.163015109048246,33788600
2019-01-24,43.36229705810547,44.360797486918976,43.02092755367609,44.33519591352608,32782700
2019-01-25,43.78047180175781,44.4034683875177,42.90998248512948,43.46470712251861,19516200
2019-01-28,43.21720504760742,43.77192956505891,42.875838868478986,42.944110802088595,24457600
2019-01-29,42.158973693847656,43.38789803286407,42.10776729222749,43.0892021622652,26266600
2019-01-30,42.81610870361328,43.41350375747995,41.99682573258872,42.397934444785406,18124100
2019-01-31,42.261390686035156,43.76340958719653,41.90295232263554,43.695137628550796,24736300
2019-02-01,42.33818817138672,42.90997829842357,42.158970661916115,42.31258660018823,15533200
2019-02-04,42.40647506713867,42.500351868691574,42.2187247195746,42.42354387247026,10880000
2019-02-05,43.29401779174805,43.59271689397529,42.43206459449464,42.44059736631117,15454200
2019-02-06,43.60978317260742,44.0706309914402,43.464703260497444,43.47323603245778,11052900
2019-02-07,43.14040756225586,43.626857008669504,42.901450853292246,43.379367526760475,10623300
