Date,Close AVGO,High AVGO,Low AVGO,Open AVGO,Volume AVGO
2010-01-04,1.333385705947876,1.3362136349252691,1.2732914145188765,1.293794194584754,5387000
2010-01-05,1.3432835340499878,1.3602513606581716,1.2796542896192176,1.3397485807082747,3011000
2010-01-06,1.3538885116577148,1.3644933726038655,1.3142969970801084,1.3397486970628472,5331000
2010-01-07,1.3454043865203857,1.3553023054417404,1.3185387269908908,1.346111410829028,2718000
2010-01-08,1.3553025722503662,1.3644933843924802,1.3326788012791644,1.3362137549584217,2899000
2010-01-11,1.3637864589691162,1.3821682520119658,1.3454046659262666,1.357423491709694,5127000
2010-01-12,1.3432835340499878,1.3531814539747458,1.3249017429611059,1.3531814539747458,9167000
2010-01-13,1.3022780418395996,1.3404555880116942,1.2902592174868777,1.3404555880116942,9439000
2010-01-14,1.3029851913452148,1.3340927496314818,1.2831894341267074,1.306520144981379,10654000
2010-01-15,1.2895519733428955,1.3121756537300002,1.283189092205245,1.3121756537300002,1587000
2010-01-19,1.2591514587402344,1.2831891894506473,1.2230949048145783,1.2655143403600906,3813000
2010-01-20,1.2697560787200928,1.2732910310171122,1.232992507407162,1.2520813172349956,1938000
2010-01-21,1.2718772888183594,1.3072268179548643,1.2577374771637573,1.2633933344016577,3386000
2010-01-22,1.2414767742156982,1.2768263061230067,1.2287509258730807,1.2641004577803892,9235000
2010-01-25,1.2478395700454712,1.2584444288850734,1.2344067825606126,1.2492535343680997,2614000
2010-01-26,1.2556166648864746,1.2725844075428157,1.1905734547173137,1.204006243963589,7654000
2010-01-27,1.2308717966079712,1.2690492536948306,1.2195599137704225,1.2471325965819757,6963000
2010-01-28,1.2527884244918823,1.2542024730235275,1.2195598853167373,1.2407696019323518,144576000
2010-01-29,1.2287510633468628,1.2626866346306078,1.2195601671666905,1.252788714021214,33570000
2010-02-01,1.2372344732284546,1.2506673424094774,1.222387639996774,1.2287506046445984,5095000
2010-02-02,1.2513744831085205,1.2584443887762584,1.2266298132714384,1.2379416960517882,17729000
2010-02-03,1.2457185983657837,1.2506675999821886,1.2358207636928291,1.2400626567184123,12857000
2010-02-04,1.2174394130706787,1.242891117514521,1.2061275257000914,1.2287513004412658,13767000
2010-02-05,1.2160249948501587,1.2245088650750886,1.173605475165656,1.2195599478005401,5387000
2010-02-08,1.202592372894287,1.2223881303847293,1.192694536289038,1.2075412911969117,4983000
2010-02-09,1.2011781930923462,1.2287508774616733,1.189159369573376,1.2047131461438039,1896000
2010-02-10,1.1877453327178955,1.1976432519281768,1.1672426385279118,1.1919873101337202,5780000
2010-02-11,1.211076259613037,1.2195601311131816,1.166535744607415,1.1849175364243443,3700000
2010-02-12,1.2273362874984741,1.2294572752498694,1.1870378573415308,1.200470639300548,1632000
2010-02-16,1.235821008682251,1.2379419977554715,1.2209741694496508,1.230165065913644,4227000
2010-02-17,1.2308717966079712,1.2443045837326265,1.2139039723516483,1.2443045837326265,5077000
2010-02-18,1.233699917793274,1.2372348711969248,1.2230950575823214,1.2351138822987469,4619000
2010-02-19,1.2393560409545898,1.2457189242977234,1.227337130204305,1.2372350517468955,3746000
2010-02-22,1.2266299724578857,1.2435977145504833,1.218146101411587,1.237234832335743,8465000
2010-02-23,1.2287510633468628,1.2365279106685922,1.2110762954157395,1.2266300743391398,18202000
2010-02-24,1.2542024850845337,1.2633932949490787,1.2308717797270141,1.2372346610609182,8523000
2010-02-25,1.2789474725723267,1.300157194663291,1.2506678431177076,1.272584505377071,23197000
2010-02-26,1.2831891775131226,1.2860171061445445,1.2697563058140537,1.276119187374716,2807000
2010-03-01,1.2937942743301392,1.3291438101260686,1.2810684245876163,1.3220739029668829,8722000
2010-03-02,1.323487639427185,1.324901603759324,1.286017121085908,1.286017121085908,9810000
2010-03-03,1.3369202613830566,1.4097402958158025,1.325608380280527,1.325608380280527,10634000
2010-03-04,1.3475251197814941,1.3602509649657426,1.3079336201593679,1.3439901674680867,3966000
2010-03-05,1.3687353134155273,1.3899450347301623,1.3468185676784283,1.3468185676784283,3767000
