Date,Close INTC,High INTC,Low INTC,Open INTC,Volume INTC
2019-01-02,40.51805114746094,40.853692918970616,39.390636096868526,39.55415295701155,18774600
2019-01-03,38.28904342651367,39.82955307230648,38.20297932593239,39.71767466606544,32267300
2019-01-04,40.63853454589844,40.93975065589179,39.19269065191157,39.450876358050074,35447300
2019-01-07,40.82786560058594,41.30981461969904,40.234038197311044,40.53525428237604,22736800
2019-01-08,41.086055755615234,41.335633397734284,40.259856944259965,41.13769092425611,22749200
2019-01-09,41.318424224853516,41.80037330040182,41.12048173391657,41.27539381952105,22554500
2019-01-10,41.79176330566406,41.86921933877891,40.8020476917531,41.09465900763041,27202600
2019-01-11,42.11020278930664,42.420026999640335,41.352855084380934,41.395885495147304,21751300
2019-01-14,41.61103439331055,42.02413546517426,41.56800398920248,41.705703252153924,19193900
2019-01-15,41.82619857788086,42.28233015070375,41.68849928569152,41.92086745682543,22480800
2019-01-16,41.421695709228516,42.07576632039515,41.378665309534895,41.82618540595945,19057700
2019-01-17,41.71432113647461,42.0327501415517,41.23237196102565,41.309828019883334,17448700
2019-01-18,42.333961486816406,42.497481638502805,41.903650827447635,42.26511348848249,29874600
2019-01-22,41.542179107666016,42.15321927451354,41.19792936924016,42.136006459291366,25940700
2019-01-23,41.258182525634766,41.998317343541785,40.896723167871585,41.662675573330375,18960700
2019-01-24,42.82450866699219,43.06548483093417,41.82618822497335,41.91225231317023,50578300
2019-01-25,40.48361587524414,40.81925756688568,39.373413908269185,40.32009577100218,86455700
2019-01-28,40.199623107910156,40.21683592914424,39.631613139225216,39.70046442416155,35928700
2019-01-29,40.05331039428711,40.423377763303804,39.87258073490944,40.25985763843036,20988300
2019-01-30,40.913936614990234,41.0344230694266,39.97585928443754,40.173801785727235,26931700
2019-01-31,40.552467346191406,40.60410579666395,39.674633386212854,40.19100804191095,43051300
2019-02-01,41.938072204589844,42.213470735947375,40.45780263628605,40.50083632425585,37442900
2019-02-04,42.35977554321289,42.37698836077931,41.51636718051417,41.843400865248256,20905000
2019-02-05,43.039669036865234,43.650712644565786,42.32535507717257,42.32535507717257,31641600
2019-02-06,43.21721649169922,43.85811121923419,43.14792878936058,43.260519653751125,21647800
2019-02-07,42.636932373046875,43.17389871015709,42.16059110768369,42.87077335142196,27825900
2019-02-08,42.299156188964844,42.45505014881137,41.580311451470536,42.23853112722654,18851200
2019-02-11,42.23854064941406,42.71488194352268,42.07398734528748,42.4550597198106,18004100
2019-02-12,43.31248092651367,43.42507178778437,42.671586216737644,42.74953322779899,18050100
2019-02-13,43.71087646484375,44.00534256962563,43.30381950428135,43.41641036006187,17712800
2019-02-14,44.00534439086914,44.20454157237467,43.6069467240387,43.658912498969464,17545400
2019-02-15,44.74150848388672,44.75016779455307,44.24784518041948,44.38641727781696,22520400
2019-02-19,44.51632308959961,44.78480462784234,44.46435732228543,44.473016631595016,15611800
2019-02-20,44.50766372680664,44.80212982212037,44.22186024525401,44.71552350742421,21607700
2019-02-21,44.52498245239258,44.89739552571101,44.351766531622786,44.44703545323711,16162100
2019-02-22,45.46034622192383,45.88472175674314,45.08793315041038,45.6422214511321,31934100
2019-02-25,45.9886474609375,46.430348197687216,45.78079101149421,45.95400692190941,20711800
2019-02-26,46.10123825073242,46.222488396752404,45.82409411588141,45.91070041909034,16082200
2019-02-27,46.10990524291992,46.231155400456394,45.477666614932886,45.69418569733916,17590300
2019-02-28,45.86740493774414,46.057942801249254,45.7374954612064,45.83276108913971,18388800
2019-03-01,46.16187286376953,46.490982830852516,45.80678166111821,46.28312303484764,18359300
2019-03-04,46.716156005859375,46.85472808637323,46.083920682026196,46.551602692692605,21706100
2019-03-05,46.49097442626953,46.759459259277094,45.997311216798586,46.638205806299666,21057700
2019-03-06,45.85874557495117,46.46499970955697,45.85008296090037,46.44767778527461,14740500
2019-03-07,45.55561828613281,45.89339086451573,45.347761795856464,45.702852995246296,17803000
