Date,Close TXN,High TXN,Low TXN,Open TXN,Volume TXN
2019-01-02,78.68294525146484,79.34939944263819,77.02514855453839,77.27507046517294,6478800
2019-01-03,74.04277038574219,77.30005562772438,73.8761600282472,76.50031447134852,11667500
2019-01-04,77.39167785644531,77.7915451773067,74.53426693819331,74.91747576892568,7707600
2019-01-07,78.72459411621094,79.32440156449697,76.94183662034837,77.3083870289182,5023900
2019-01-08,78.6246337890625,79.67429695305427,77.49999786267482,79.35773469664082,5863500
2019-01-09,80.17411804199219,80.3823841470982,78.90786291948959,79.18277570361603,6909400
2019-01-10,81.40707397460938,81.59034920408706,79.53267861895249,79.77426811637503,6748500
2019-01-11,82.13179779052734,82.53167140970601,80.64894450683764,80.83221965080388,4738800
2019-01-14,80.24909973144531,81.4903639782683,79.9658545143674,81.06549933054009,5060100
2019-01-15,81.33209228515625,81.67365181216694,80.50736013434803,80.79893146485819,4690800
2019-01-16,80.9488754272461,81.73195808613843,80.83224690644651,81.37374009917467,4559500
2019-01-17,81.25711059570312,82.00686990304595,79.84922958279148,80.07416055288314,6872300
2019-01-18,82.82325744628906,83.2897778115097,81.59032574825103,82.00685792976218,6677500
2019-01-22,80.49069213867188,81.99853680974513,79.82423801407485,81.99853680974513,11068600
2019-01-23,79.54932403564453,81.115489298574,78.9828399448402,80.69895706579956,10298700
2019-01-24,85.04755401611328,85.39744594580993,81.47371280914942,81.60699982768983,14260300
2019-01-25,86.98027038574219,87.36347930578118,85.57238930011566,85.65569448172798,11041700
2019-01-28,85.5390625,86.74700347401503,84.77264469089008,84.87260836247451,7292700
2019-01-29,84.43107604980469,86.19717487385319,84.3977527109611,85.68900507909812,6153100
2019-01-30,85.74061584472656,86.15194068174685,84.0953100922104,85.35447324607394,6430200
2019-01-31,84.51502990722656,85.44681113981045,84.08691264793359,84.80043714379862,8272300
2019-02-01,85.61470031738281,85.67346100980569,84.16246903131643,84.40590801547842,5615000
2019-02-04,85.45520782470703,85.9085009200615,84.84241227746351,85.60630765797016,5761200
2019-02-05,85.8917007446289,85.95885763822221,84.7668515968936,85.7993616170466,6372200
2019-02-06,89.38379669189453,89.7279646189918,87.34395215403342,87.52023422465909,9907800
2019-02-07,87.18445587158203,88.62829728930019,86.58005654282235,88.22536226864878,7045700
2019-02-08,87.76367950439453,87.98192985259927,85.74062084507459,86.00084586263004,5392400
2019-02-11,87.93997192382812,88.51918272144715,87.51185458298579,87.89799724954385,4553000
2019-02-12,89.3502197265625,89.46774110893524,88.77100262455754,88.92210245967036,5316800
2019-02-13,89.94621276855469,90.76047254401581,89.53488797636506,89.64401313220965,5965200
2019-02-14,89.79512786865234,90.98713418536367,89.34182833882508,89.63563181062922,3438800
2019-02-15,90.29877471923828,90.55060987832182,89.56006807272556,90.5170314301484,3604300
2019-02-19,90.05535125732422,90.56741147225212,89.49292656369364,89.9126476313765,3188000
2019-02-20,90.609375,91.04588203876833,90.02176173483232,90.42469672821686,3692800
2019-02-21,89.51810455322266,90.44988579159762,89.14874798177746,89.79512198180655,3933500
2019-02-22,90.08055114746094,90.97875415212275,89.52652255986705,90.57582543467929,4392900
2019-02-25,90.81925201416016,91.91052301163339,90.51705231530649,91.49919813436308,5750200
2019-02-26,90.04696655273438,90.80246585202018,89.67761632097825,90.78567982511873,3740100
2019-02-27,88.73741912841797,89.33342222070158,87.89797707093096,89.33342222070158,4395800
2019-02-28,88.79619598388672,88.84656046708699,87.9819360151579,88.2925319385765,5465800
2019-03-01,89.61884307861328,89.89585411255554,88.79618697797481,89.70278601024533,4164200
2019-03-04,90.15609741210938,90.76888665780206,88.98087700102003,90.20646189684138,3278500
2019-03-05,89.45934295654297,90.48346332740549,89.4173682904185,90.38272797136766,4008600
2019-03-06,88.4939956665039,89.61045533561882,88.35968824408265,89.4845377240493,3568000
2019-03-07,88.09944152832031,88.74581550021938,87.03335293136523,88.01549860330911,5431000
2019-03-08,88.02389526367188,88.23375577948181,86.75633595493818,87.04174958674572,5180800
2019-03-11,89.35861206054688,89.73636486121686,88.14142353540348,88.27573735015774,3319800
2019-03-12,89.4173812866211,89.86229103712658,88.77940981896137,89.69439875266156,3047200
2019-03-13,90.30719757080078,90.90320079170844,89.53491224830941,89.95463336763333,3911100
2019-03-14,89.90424346923828,90.3911214017748,88.95567624572513,90.03855727315235,5393700
2019-03-15,92.95982360839844,93.0101944933414,90.6513576534182,90.65975386831461,13932300
2019-03-18,92.17912292480469,93.29558230920262,91.43202006563534,92.38059361371162,4408900
2019-03-19,92.35542297363281,93.01019323353883,91.9608905409422,92.82551493493216,3592100
2019-03-20,92.02803039550781,93.09412539429078,91.52436644223746,92.4561476377832,3829400
2019-03-21,94.20219421386719,94.8401720080336,92.29665704567455,92.34702792707914,5772700
2019-03-22,92.07000732421875,94.36168701394023,91.94408973169607,93.78246993099677,3773500
2019-03-25,89.91263580322266,91.68385898819183,89.19911136291415,90.76886385070598,5479100
2019-03-26,90.93675231933594,91.28931641809335,90.14767479926867,90.89477765805971,3085500
2019-03-27,88.9556884765625,91.35649361392724,88.5191749582586,90.98713700681404,4797200
2019-03-28,88.06587982177734,89.31664684327184,86.99138848039885,88.97247248455095,5386400
2019-03-29,89.03962707519531,89.50971262175575,88.44362392739612,89.02284105043326,4327700
2019-04-01,91.19698333740234,91.46560453586342,89.76153820771022,90.65134472678106,5349800
2019-04-02,92.57366943359375,92.69958702359153,90.81084238692866,91.47400238344467,7005500
2019-04-03,94.6470947265625,95.82231492201433,93.51384919697621,93.91677780977209,7036700
2019-04-04,95.05842590332031,95.92305028065464,94.31971912755905,94.33650515236567,5035600
2019-04-05,95.38580322265625,95.7971344615784,95.1171820076637,95.53690305636674,3318300
