Date,Close TSM,High TSM,Low TSM,Open TSM,Volume TSM
2019-01-02,31.535274505615234,31.7338807106994,31.0862504921137,31.258952542540076,5273100
2019-01-03,29.670103073120117,30.671771129760142,29.59238730605244,30.516339595624792,15998000
2019-01-04,30.196836471557617,30.248644775884344,29.540569401935695,29.756446120676557,14178200
2019-01-07,30.421350479125977,30.62859360348264,30.19684011392249,30.23137788963384,6850800
2019-01-08,30.170936584472656,30.37817973575468,29.911885115883734,30.317734502884537,11462600
2019-01-09,30.749483108520508,31.051709224317484,30.507702215882926,30.507702215882926,11770300
2019-01-10,31.448928833007812,31.500740447872772,30.568154438432074,30.619962759278668,7894600
2019-01-11,31.612987518310547,31.75114848785012,31.29349089387853,31.47482654877097,7232700
2019-01-14,30.879013061523438,31.250321385438728,30.8444752802895,31.198513066578702,6146200
2019-01-15,31.120792388916016,31.284857529476042,30.913549264087496,31.120792388916016,10165800
2019-01-16,30.775392532348633,31.11215977447415,30.775392532348633,30.999906223111093,8727400
2019-01-17,31.336669921875,31.56118029323301,30.075950488363393,30.153662956357557,21916900
2019-01-18,31.811594009399414,31.958388599801978,31.2244090597544,31.293491192191404,12905900
2019-01-22,31.405752182006836,31.742519422648545,31.172604870635308,31.51800902689346,13381700
2019-01-23,31.509374618530273,31.7252513872968,31.293497849763746,31.54391239807918,13918600
2019-01-24,32.502403259277344,32.502403259277344,31.759786705235676,31.846139382460187,14094100
2019-01-25,32.93414306640625,33.0377629419635,32.70963278702948,32.81325266258672,16763700
2019-01-28,32.3297004699707,32.51967306156386,31.863409199542218,31.880676440580004,14086500
2019-01-29,31.3712158203125,32.200181879999036,31.34530836630971,32.200181879999036,10100800
2019-01-30,32.277896881103516,32.3383421156322,31.336673993990498,31.785698089073776,9281600
2019-01-31,32.48512649536133,32.89960938451545,32.21744148233396,32.21744148233396,7633400
2019-02-01,32.441959381103516,32.701010835512264,32.329702543053145,32.597390912552356,6438300
2019-02-04,32.76145553588867,32.82190076447376,32.27789370720795,32.38151362849412,7283800
2019-02-05,33.029144287109375,33.04641482319524,32.70964760456563,32.74418538271942,7314000
