Date,Close MU,High MU,Low MU,Open MU,Volume MU
2019-01-02,31.987003326416016,32.30931690405478,30.033598543123436,30.277774141035007,26004300
2019-01-03,30.27777099609375,31.40098012014923,30.141033271598,31.078666575989057,29145500
2019-01-04,31.938167572021484,32.27024651986579,30.81495837983004,30.92239623440081,28557300
2019-01-07,33.20787811279297,33.64739489180347,32.53395486885925,32.91486816872716,44841500
2019-01-08,32.95393753051758,33.784133002472714,32.04560408548149,33.745064015932236,33434100
2019-01-09,34.61433029174805,35.444529533113894,34.106444617527764,34.155282716179265,54147900
2019-01-10,35.07338333129883,35.11245232182667,34.2627222698781,34.438525275605386,24437400
2019-01-11,35.17104721069336,35.8742740395034,34.19434493771209,34.59479272060147,30469800
2019-01-14,33.86227035522461,34.106445954760375,33.46182252101891,33.91110845579094,34612000
2019-01-15,33.198116302490234,34.409225195207334,32.86603733658574,34.20411858486679,30633600
2019-01-16,32.79766082763672,33.53018745894795,32.74882273822414,33.246942933976726,24890900
2019-01-17,33.09067153930664,33.4032159448637,31.89909366448085,32.45581361974331,29398500
2019-01-18,34.92687225341797,35.346854536212476,33.26648134096366,33.432518941879664,44872400
2019-01-22,33.080894470214844,34.42874422347031,32.768350139868986,34.42874422347031,37021900
2019-01-23,33.44228744506836,33.88180048697288,32.66092264651924,33.3153151064306,31011600
2019-01-24,35.73752975463867,36.56772504388771,34.2822419957808,34.48735226706662,65094800
2019-01-25,38.05231857299805,38.39416659426001,36.626334189420874,37.20258866303403,61032300
2019-01-28,37.19282150268555,38.052316754666776,35.79613706093704,36.08914697528624,44213000
2019-01-29,36.518890380859375,38.071846845843496,36.38215268502047,37.38815464082621,30331000
2019-01-30,37.349090576171875,37.85697239805288,36.71423271008627,37.407690318638124,32848100
2019-01-31,37.32956314086914,37.91558303120855,36.41146059329418,36.7533086341785,34130500
2019-02-01,38.677406311035156,38.9313509739698,37.33932531669322,37.41746328246489,36839900
2019-02-04,38.55043411254883,38.68717181408222,37.612797239791554,38.62856834521522,30851500
2019-02-05,38.45277404785156,39.390411222567536,38.25743281454306,38.32580541315155,25094000
2019-02-06,40.55268096923828,40.98242865081607,39.42947180548732,39.45877540878885,47472600
2019-02-07,38.46253967285156,40.0936308126295,38.003488375054125,39.85922433456292,40396400
2019-02-08,37.68117904663086,37.876516539057505,36.577504330465864,36.919348668036335,35573200
2019-02-11,37.68117904663086,37.96441990097903,36.48960096854434,37.70070981521445,30356500
2019-02-12,39.458770751953125,39.82014952621768,38.32579633802854,38.47229943395151,43587900
2019-02-13,40.70895004272461,41.294969901886496,39.849451020240224,39.89828538753315,50101700
2019-02-14,41.24613571166992,42.154469105346855,40.34757142698756,40.425705669827,41759200
2019-02-15,41.01172637939453,41.41217412613234,40.45500270629743,41.28520179887699,28968400
2019-02-19,40.9824333190918,41.50008814371615,40.53315109274351,40.72849232510228,25575900
2019-02-20,41.22660446166992,42.25214116316855,41.1484702126858,41.32427693017971,28048700
2019-02-21,40.562442779541016,41.87122392838657,40.455004937156005,41.48054526841413,24048800
2019-02-22,41.578208923339844,41.578208923339844,40.85545144146992,41.09962697131139,22834300
2019-02-25,41.754032135009766,42.96514488191429,41.70519775487053,42.789338132753564,25233700
2019-02-26,41.95913314819336,42.14470898402544,41.30474434514557,41.363344103135596,18051500
