Date,Close NFLX,High NFLX,Low NFLX,Open NFLX,Volume NFLX
2017-01-03,127.48999786376953,128.19000244140625,124.30999755859375,124.95999908447266,9437900
2017-01-04,129.41000366210938,130.1699981689453,126.55000305175781,127.48999786376953,7843600
2017-01-05,131.80999755859375,132.75,128.89999389648438,129.22000122070312,10185500
2017-01-06,131.07000732421875,133.8800048828125,129.80999755859375,132.0800018310547,10657900
2017-01-09,130.9499969482422,131.99000549316406,129.88999938964844,131.47999572753906,5771800
2017-01-10,129.88999938964844,132.22000122070312,129.2899932861328,131.27000427246094,5985800
2017-01-11,130.5,131.5,129.25,130.91000366210938,5615100
2017-01-12,129.17999267578125,130.85000610351562,128.5,130.6300048828125,5388900
2017-01-13,133.6999969482422,133.92999267578125,130.5800018310547,131.14999389648438,10515000
2017-01-17,132.88999938964844,135.39999389648438,132.08999633789062,135.0399932861328,12220200
2017-01-18,133.25999450683594,133.64999389648438,131.05999755859375,133.2100067138672,16168600
2017-01-19,138.41000366210938,143.4600067138672,138.25,142.00999450683594,23203400
2017-01-20,138.60000610351562,140.7899932861328,137.66000366210938,139.36000061035156,9497400
2017-01-23,137.38999938964844,139.49000549316406,137.30999755859375,138.64999389648438,7433900
2017-01-24,140.11000061035156,140.92999267578125,137.02999877929688,138.11000061035156,7754700
2017-01-25,139.52000427246094,141.38999938964844,139.0500030517578,140.8000030517578,7238100
2017-01-26,138.9600067138672,141.2100067138672,138.50999450683594,140.4499969482422,6038300
2017-01-27,142.4499969482422,142.49000549316406,139.0,139.4600067138672,8323900
2017-01-30,141.22000122070312,141.97000122070312,138.8000030517578,141.77000427246094,8122500
2017-01-31,140.7100067138672,141.8300018310547,139.6999969482422,140.5500030517578,4411600
2017-02-01,140.77999877929688,142.41000366210938,139.3000030517578,141.1999969482422,6033400
2017-02-02,139.1999969482422,141.0399932861328,139.0500030517578,140.61000061035156,3462400
2017-02-03,140.25,140.63999938964844,139.10000610351562,139.50999450683594,3512600
2017-02-06,140.97000122070312,141.0,139.16000366210938,140.0,3552100
2017-02-07,144.0,144.27999877929688,141.0500030517578,141.49000549316406,8573500
2017-02-08,144.74000549316406,145.07000732421875,142.55999755859375,143.57000732421875,6887100
2017-02-09,144.13999938964844,145.08999633789062,143.5800018310547,144.97999572753906,4555100
2017-02-10,144.82000732421875,145.3000030517578,143.97000122070312,144.67999267578125,6171900
2017-02-13,143.1999969482422,145.9499969482422,143.0500030517578,145.19000244140625,4790400
2017-02-14,140.82000732421875,144.11000061035156,140.0500030517578,143.1999969482422,8367800
2017-02-15,142.27000427246094,142.42999267578125,140.50999450683594,140.72000122070312,5309100
2017-02-16,142.00999450683594,142.44000244140625,141.07000732421875,142.4199981689453,2847500
2017-02-17,142.22000122070312,142.89999389648438,141.27000427246094,141.75,4588100
2017-02-21,142.60000610351562,143.3800048828125,141.80999755859375,142.99000549316406,3571500
2017-02-22,143.86000061035156,144.0,142.1699981689453,142.9199981689453,3482000
2017-02-23,142.77999877929688,144.49000549316406,141.52000427246094,144.4499969482422,4668000
2017-02-24,143.25,143.55999755859375,141.5500030517578,141.8800048828125,3302700
2017-02-27,143.41000366210938,143.9199981689453,142.3800048828125,143.1199951171875,3907400
2017-02-28,142.1300048828125,143.57000732421875,141.85000610351562,143.3000030517578,3862200
2017-03-01,142.64999389648438,143.25999450683594,142.10000610351562,142.83999633789062,4170600
2017-03-02,139.52999877929688,142.6999969482422,139.08999633789062,142.14999389648438,6119900
2017-03-03,139.13999938964844,140.91000366210938,138.25999450683594,139.69000244140625,5399800
2017-03-06,141.94000244140625,142.83999633789062,140.5399932861328,141.0,7116100
2017-03-07,141.42999267578125,142.39999389648438,140.3800048828125,141.99000549316406,4241000
2017-03-08,140.32000732421875,142.05999755859375,139.77000427246094,141.47000122070312,4085500
2017-03-09,140.52999877929688,141.24000549316406,139.74000549316406,140.0399932861328,2652700
2017-03-10,140.88999938964844,141.8000030517578,140.27999877929688,141.38999938964844,3318500
2017-03-13,143.52000427246094,143.7100067138672,140.32000732421875,140.89999389648438,4922400
2017-03-14,143.19000244140625,143.30999755859375,141.6999969482422,142.9499969482422,4660300
2017-03-15,145.25,145.52000427246094,143.22999572753906,144.1999969482422,5987200
2017-03-16,144.38999938964844,146.5,144.22000122070312,145.5,5286500
2017-03-17,145.11000061035156,145.75999450683594,143.39999389648438,144.0500030517578,6281300
2017-03-20,145.8300018310547,146.25,144.5800018310547,145.4499969482422,3421000
2017-03-21,142.4199981689453,147.6999969482422,142.10000610351562,146.75,7669800
2017-03-22,142.64999389648438,143.8000030517578,140.75999450683594,142.5399932861328,6486900
2017-03-23,141.83999633789062,142.88999938964844,141.25999450683594,142.13999938964844,3712600
2017-03-24,142.02000427246094,142.8000030517578,141.5800018310547,142.36000061035156,3546600
2017-03-27,144.05999755859375,144.38999938964844,140.0,140.8300018310547,4771700
2017-03-28,145.1699981689453,146.11000061035156,143.9199981689453,144.10000610351562,4638000
2017-03-29,146.47000122070312,147.17999267578125,144.91000366210938,145.5,3855000
2017-03-30,148.05999755859375,148.2899932861328,146.52999877929688,146.80999755859375,4461100
2017-03-31,147.80999755859375,148.22999572753906,147.3300018310547,148.0,3888200
2017-04-03,146.9199981689453,148.00999450683594,145.74000549316406,146.6999969482422,4609300
2017-04-04,145.5,147.08999633789062,144.88999938964844,146.83999633789062,4368900
2017-04-05,143.6199951171875,146.25,143.25999450683594,146.19000244140625,4607600
2017-04-06,143.74000549316406,144.13999938964844,143.00999450683594,144.0,3312400
2017-04-07,143.11000061035156,143.88999938964844,142.7100067138672,143.7899932861328,3040500
2017-04-10,143.85000610351562,144.64999389648438,141.2100067138672,143.0399932861328,5807400
2017-04-11,144.35000610351562,144.5399932861328,141.97999572753906,144.27999877929688,4621500
2017-04-12,143.8300018310547,145.74000549316406,143.5500030517578,144.85000610351562,4387000
2017-04-13,142.9199981689453,144.5500030517578,142.75999450683594,144.25,3685800
2017-04-17,147.25,147.32000732421875,144.42999267578125,144.42999267578125,16364700
2017-04-18,143.36000061035156,147.39999389648438,140.0,147.33999633789062,19671000
2017-04-19,139.75999450683594,144.0,138.66000366210938,143.3699951171875,12395100
2017-04-20,141.17999267578125,141.8000030517578,139.27000427246094,140.3000030517578,7248200
2017-04-21,142.8699951171875,143.02999877929688,140.89999389648438,141.38999938964844,6824800
2017-04-24,143.8300018310547,144.5,143.39999389648438,143.61000061035156,4800900
2017-04-25,152.16000366210938,153.52000427246094,146.22000122070312,147.4600067138672,20674200
2017-04-26,150.1699981689453,152.14999389648438,148.89999389648438,151.52999877929688,9274100
2017-04-27,153.0800018310547,153.49000549316406,149.3000030517578,150.60000610351562,7719400
2017-04-28,152.1999969482422,152.97000122070312,150.94000244140625,152.7100067138672,6366200
2017-05-01,155.35000610351562,157.6999969482422,151.61000061035156,151.91000366210938,9031600
2017-05-02,156.4499969482422,156.5,154.61000061035156,155.75999450683594,5384800
2017-05-03,155.58999633789062,156.5399932861328,154.8800048828125,156.2899932861328,3931200
2017-05-04,157.25,157.89999389648438,154.5500030517578,155.58999633789062,5582300
2017-05-05,156.60000610351562,158.58999633789062,155.89999389648438,158.5500030517578,5341700
2017-05-08,156.3800048828125,157.63999938964844,155.3000030517578,156.5500030517578,4818800
2017-05-09,157.4600067138672,157.85000610351562,155.97000122070312,156.10000610351562,3911000
2017-05-10,160.27999877929688,161.10000610351562,156.55999755859375,157.82000732421875,6869900
2017-05-11,158.5399932861328,160.52000427246094,157.5500030517578,160.3300018310547,5677400
2017-05-12,160.80999755859375,160.83999633789062,158.50999450683594,159.11000061035156,5092900
2017-05-15,160.02000427246094,161.77999877929688,159.75999450683594,160.25,4972000
2017-05-16,159.41000366210938,161.17999267578125,159.3300018310547,160.5,3464900
2017-05-17,153.1999969482422,158.77999877929688,153.0,158.08999633789062,8184500
2017-05-18,155.6999969482422,156.88999938964844,153.24000549316406,153.61000061035156,6802700
2017-05-19,157.02000427246094,158.0500030517578,155.91000366210938,156.14999389648438,4091500
2017-05-22,157.16000366210938,158.60000610351562,156.42999267578125,157.86000061035156,3744100
2017-05-23,157.9499969482422,158.30999755859375,156.8000030517578,157.75,3370900
2017-05-24,157.75,158.47999572753906,157.1699981689453,158.35000610351562,2970800
2017-05-25,163.0500030517578,164.10000610351562,160.5500030517578,161.0,8561000
2017-05-26,162.42999267578125,163.0500030517578,161.1199951171875,162.83999633789062,4834300
2017-05-30,163.22000122070312,164.75,162.7100067138672,163.60000610351562,4828600
2017-05-31,163.07000732421875,164.0,160.74000549316406,163.61000061035156,5328900
2017-06-01,162.99000549316406,163.92999267578125,161.6999969482422,163.52000427246094,3896300
2017-06-02,165.17999267578125,165.36000061035156,162.8000030517578,163.4199981689453,4259100
2017-06-05,165.05999755859375,165.5,163.42999267578125,165.49000549316406,3875200
2017-06-06,165.1699981689453,166.82000732421875,164.50999450683594,164.9499969482422,4382100
2017-06-07,165.61000061035156,166.39999389648438,164.41000366210938,165.60000610351562,3353100
2017-06-08,165.8800048828125,166.8699951171875,164.83999633789062,166.1199951171875,3719100
2017-06-09,158.02999877929688,166.27000427246094,154.5,166.27000427246094,10292000
2017-06-12,151.44000244140625,155.52999877929688,148.30999755859375,155.3000030517578,14114500
2017-06-13,152.72000122070312,155.67999267578125,150.1300048828125,154.3800048828125,8484700
2017-06-14,152.1999969482422,155.6199951171875,150.27999877929688,154.33999633789062,6461800
2017-06-15,151.75999450683594,152.55999755859375,147.3000030517578,149.44000244140625,7319700
2017-06-16,152.3800048828125,153.52999877929688,150.38999938964844,151.4499969482422,6909700
2017-06-19,153.39999389648438,155.5800018310547,152.41000366210938,154.2899932861328,6544300
2017-06-20,152.0500030517578,154.5,151.39999389648438,153.67999267578125,4878700
2017-06-21,155.02999877929688,155.3800048828125,152.25999450683594,152.5,5803400
2017-06-22,154.88999938964844,155.1999969482422,153.6999969482422,155.1300048828125,3769200
2017-06-23,158.02000427246094,158.19000244140625,153.75999450683594,155.00999450683594,6250800
2017-06-26,157.5,159.97000122070312,156.55999755859375,158.77999877929688,6016000
2017-06-27,151.02999877929688,156.97999572753906,150.72000122070312,156.6199951171875,7424300
