Date,Close AAPL,High AAPL,Low AAPL,Open AAPL,Volume AAPL
2019-01-02,37.61785125732422,37.839386848487095,36.73886211985297,36.896080457482114,148158800
2019-01-03,33.87083435058594,34.71170924937219,33.8255741979129,34.29722555279616,365248800
2019-01-04,35.3167610168457,35.385843458861956,34.25435404131525,34.42824508143415,234428400
2019-01-07,35.2381591796875,35.45254887377889,34.75459652396416,35.42158062540802,219111200
2019-01-08,35.9099006652832,36.16478528700009,35.378697182298566,35.62643221113831,164101200
2019-01-09,36.51972579956055,36.81034031110393,35.64312071441234,36.03854385892409,180396400
2019-01-10,36.63642501831055,36.676919979599454,35.936092268889325,36.32675360488884,143122800
2019-01-11,36.276737213134766,36.61261175890216,36.09093504627831,36.417282860183526,108092800
2019-01-14,35.73125076293945,36.03377637046816,35.54544854975383,35.933729304504425,129756800
2019-01-15,36.46253967285156,36.53876442507238,35.74314971840054,35.795555825764026,114843600
2019-01-16,36.90799331665039,37.131909692527415,36.44586864895017,36.46492574846843,122278800
2019-01-17,37.12714767456055,37.55592336335541,36.50780460910458,36.73172100407359,119284800
2019-01-18,37.3558235168457,37.60832370736827,37.15572580295646,37.51780339953194,135004000
2019-01-22,36.517337799072266,37.33439062814207,36.35535424422283,37.25816585244931,121576000
2019-01-23,36.665016174316406,36.955630552057414,36.13619352857585,36.719803058220776,92522400
2019-01-24,36.374412536621094,36.79842308807364,36.14573456729226,36.710287166016776,101766000
2019-01-25,37.57973861694336,37.66787815610995,36.760305150477386,37.03662400515112,134142000
2019-01-28,37.231956481933594,37.23910243985736,36.6030867412518,37.11046792768946,104768400
2019-01-29,36.8460578918457,37.66787943003454,36.710281051690714,37.22004666542963,166348800
2019-01-30,39.363914489746094,39.5783004672499,38.16810802124798,38.88749797549803,244439200
2019-01-31,39.64738464355469,40.257197227088255,39.199551937310474,39.568775479069075,162958400
2019-02-01,39.666446685791016,40.25243706170224,39.52590102795281,39.77125891817062,130672400
2019-02-04,40.79317855834961,40.890844850892705,39.84749115004007,39.87845939761979,125982000
2019-02-05,41.49111557006836,41.705505198302404,41.05519762567575,41.17668253733617,144406400
2019-02-06,41.50541687011719,41.82223435574399,41.17430746758201,41.603079513914516,112958400
2019-02-07,40.719322204589844,41.43394701369877,40.57639578886016,41.06710424288514,126966800
2019-02-08,40.76716613769531,40.82697360976504,40.29109734589125,40.427460134382265,95280000
2019-02-11,40.53273010253906,40.95856278685329,40.48967046219642,40.920285117420185,83973600
2019-02-12,40.881996154785156,40.90831158895614,40.597311998851445,40.69300614599975,89134000
2019-02-13,40.71214294433594,41.26237244865827,40.649944483984534,41.001612731729914,89960800
2019-02-14,40.860469818115234,40.97051353375331,40.52076378013357,40.599710089365466,87342800
2019-02-15,40.76956558227539,41.0757796107842,40.609281961912124,40.968126868792055,98507200
2019-02-19,40.89156723022461,41.01357682194491,40.54707922219934,40.59971009502795,75891200
2019-02-20,41.154720306396484,41.463328928356844,40.90592281110477,40.953768062081025,104457600
2019-02-21,40.922664642333984,41.23605521603749,40.740851238983446,41.0996960761142,68998800
2019-02-22,41.37959289550781,41.38676949992422,40.9992182600049,41.047063506233734,75652800
2019-02-25,41.6810188293457,42.07335566637891,41.614034758415016,41.66427463679207,87493600
2019-02-26,41.704952239990234,41.93700555357512,41.42744465771321,41.556630858244425,68280800
2019-02-27,41.834136962890625,41.86523802210766,41.3221850553775,41.43701805078238,111341600
2019-02-28,41.42265319824219,41.843700132789515,41.3676313466987,41.70255537648484,112861600
2019-03-01,41.858062744140625,41.90112238101423,41.36046403267698,41.692993502073456,103544800
2019-03-04,42.06858825683594,42.52312370265589,41.6188347817674,42.03031058866854,109744800
2019-03-05,41.99201965332031,42.104457986563084,41.755180763016945,42.090104778124974,78949600
2019-03-06,41.750404357910156,41.98245765954082,41.61165057391955,41.7862873837876,83241600
2019-03-07,41.267154693603516,41.731261249287456,41.1523253722086,41.594898464214864,99185600
2019-03-08,41.36525344848633,41.40353111834732,40.54947840507668,40.745648725344594,95997600
2019-03-11,42.798240661621094,42.85087154765092,41.948977178710045,41.982469228878145,128044000
2019-03-12,43.279083251953125,43.70012657317597,42.91066715181928,43.06138316099755,129870400
2019-03-13,43.4704704284668,43.85084512569788,43.281476747208835,43.59965297928454,124130000
2019-03-14,43.953712463378906,44.04223001659465,43.67381389321422,43.99438111199851,94318000
2019-03-15,44.52547836303711,44.814948216738216,43.95611354846151,44.22165894635413,156171600
2019-03-18,44.980018615722656,45.06853253381992,44.44653317056252,44.44892780641998,104879200
2019-03-19,44.623558044433594,45.21206527171253,44.47762764277541,45.058958264264525,126585600
2019-03-20,45.013492584228516,45.331668744910885,44.192932243445966,44.551777043415214,124140800
2019-03-21,46.67136764526367,46.968014081984975,45.40823386690065,45.458473759949264,204136800
2019-03-22,45.70487594604492,47.29336243407434,45.64028284695774,46.731170674231585,169630800
2019-03-25,45.15225601196289,45.927358609615716,44.64030413374622,45.814920256190476,175381200
2019-03-26,44.68575668334961,46.142669720394025,44.157060586216474,45.85080891595458,199202000
2019-03-27,45.08766174316406,45.396266723051546,44.628340750814054,45.154645826401016,119393600
2019-03-28,45.14746856689453,45.3484208136936,44.862784392083164,45.202490423679315,83121600
