Date,Close ASML,High ASML,Low ASML,Open ASML,Volume ASML
2010-01-04,33.4736213684082,33.89856182207058,33.39636178874042,33.59917137674074,1390235
2010-01-05,33.73439407348633,33.92755019170923,33.560556403862314,33.7923409089532,1094016
2010-01-06,34.04343795776367,34.17864722833421,33.6957598130729,33.72473464658333,1051204
2010-01-07,33.09697723388672,33.69575539433923,32.99074281075779,33.46397094053283,2057440
2010-01-08,32.305057525634766,32.57547329239926,32.16019183498318,32.48855444536371,3027178
2010-01-11,31.61935043334961,32.09257858669163,31.387563131224134,31.986341321496063,3055206
2010-01-12,31.66763687133789,32.121549399472194,31.513112008938464,31.851133727049206,2536765
2010-01-13,32.54649353027344,32.758962402771786,32.208471774815536,32.739646792837725,2992913
2010-01-14,32.32435989379883,32.59477554974823,32.07325984447266,32.565803558201296,1229459
2010-01-15,31.60969352722168,32.10223732517021,31.455171484589993,32.02497488546621,1860243
2010-01-19,31.629005432128906,31.6966114773387,31.12680530643321,31.242696115637457,2002924
2010-01-20,32.063602447509766,32.14086487839968,31.52277110483231,31.86078998481172,2977744
2010-01-21,32.03462600708008,32.67203529988105,31.841472793445927,32.5561416696352,2970814
2010-01-22,30.6439208984375,32.305049133346685,30.431452030484742,32.26641791430505,4554011
2010-01-25,31.194408416748047,31.4648240864087,30.94330835469001,31.281327232571833,2263261
2010-01-26,31.262014389038086,31.706270566401734,31.252358002770983,31.45517048214238,2387539
2010-01-27,31.445512771606445,31.522775212564433,30.914340581961188,30.981943799411244,1984136
2010-01-28,30.82741355895996,31.976682239722614,30.470079086807015,31.94771024778757,2451218
2010-01-29,30.18035888671875,31.290996760959928,29.929258741956794,31.213734305101816,2704240
2010-02-01,30.866058349609375,30.914348806443535,30.470092489521104,30.499064494199907,1041579
2010-02-02,31.397232055664062,31.63867581826323,30.972291373902756,31.319969597748006,2741662
2010-02-03,31.522775650024414,31.793191360353724,31.184756721306876,31.40688198697911,1726956
2010-02-04,29.967884063720703,31.233043763559532,29.948568453562956,31.213728153401785,2286361
2010-02-05,30.01617431640625,30.132067987567805,29.079377069901774,29.72644297527896,3222527
2010-02-08,29.53329086303711,29.958228667238096,29.320819124159904,29.581578476211753,1990373
2010-02-09,30.392820358276367,30.93365458001904,29.851988973309904,30.402479581280883,1836835
2010-02-10,30.412137985229492,30.54734725882979,29.871306564381086,30.315562769434248,1039731
2010-02-11,30.508708953857422,30.79844020752205,29.639515192863538,29.87129962844009,2490411
2010-02-12,30.37350082397461,30.595628883059014,29.794038295424574,29.851985115634747,1403941
2010-02-16,31.04954719543457,31.11715041327343,30.1127500221485,30.267272068176805,1232539
2010-02-17,30.663232803344727,31.08817332468682,30.52802638981036,31.059201332294002,952490
2010-02-18,30.991607666015625,31.12681697032508,30.4604353481711,30.69221989021026,1406328
2010-02-19,30.711523056030273,30.933651118966473,30.402476179659526,30.508710600165738,1575959
2010-02-22,30.923992156982422,31.12680461455175,30.885360942514367,31.078517014854643,893662
2010-02-23,29.77472686767578,30.730842443398206,29.70712365299682,30.730842443398206,3065216
2010-02-24,29.948572158813477,30.151384672173695,29.678156419925422,29.765075258000742,1191883
2010-02-25,29.658836364746094,29.74575518980174,28.78964244063705,29.291842618093046,1800568
2010-02-26,29.77472686767578,29.842332919130985,29.16629226201264,29.50431117218369,1543465
2010-03-01,30.46043586730957,30.489407871766844,29.87131385794352,29.87131385794352,1697388
2010-03-02,31.79319190979004,32.23744812236475,31.146126038545773,31.155782425578227,4362974
2010-03-03,32.17949295043945,32.440252210833066,31.9959961133885,32.208464940805094,3193883
2010-03-04,31.870450973510742,32.17949787742365,31.522772852011705,32.034632229863725,1848924
2010-03-05,32.652732849121094,32.6623892371439,32.169845365339214,32.36300149356266,1596056
2010-03-08,33.18391036987305,33.280485604260576,32.826572924952956,32.93280738484541,2529681
2010-03-09,32.8845100402832,33.10663811986666,32.65272557482817,32.70101317773827,1588664
2010-03-10,33.309444427490234,33.473622814360915,32.865188350526616,32.92313516536216,1593592
2010-03-11,33.29979705810547,33.29979705810547,32.82656882368883,33.06801255304621,705936
2010-03-12,33.261165618896484,33.36740006482777,33.01972189110393,33.270824843132004,1500037
2010-03-15,32.34368133544922,32.74930347416249,32.07326563071493,32.74930347416249,1512819
2010-03-16,33.01972961425781,33.0776764628947,32.44026963822065,32.55616049871719,1113420
2010-03-17,33.328765869140625,33.5702067180744,33.18390022506993,33.3384222549165,1325709
2010-03-18,32.874855041503906,33.21287681563307,32.65272977015718,33.14527359551783,1328019
2010-03-19,32.46923065185547,32.85553717176478,32.20847133965685,32.845880785316375,798875
2010-03-22,33.31910705566406,33.367394658688454,31.9670286399961,31.996000634455513,1912449
2010-03-23,34.188297271728516,34.2752160825803,33.666781569841966,33.79233159368918,2327556
2010-03-24,33.637813568115234,33.995150942452476,33.4350039138951,33.73439162020319,1220835
2010-03-25,33.92754364013672,34.45871577073631,33.888912423952014,34.09172205375765,1341109
2010-03-26,34.378334045410156,34.75804309419659,34.21281940468558,34.52437620723684,1522290
2010-03-29,34.621734619140625,34.72883467951313,34.4270126962914,34.485430131090574,583506
2010-03-30,34.2322883605957,34.39780298428647,33.8623141594264,34.212815883701815,1621774
2010-03-31,34.4659423828125,34.9332787943395,34.2517480765949,34.45620757789962,1756909
2010-04-01,34.7093620300293,35.14748849913985,34.4562226736296,35.07933625545101,1327249
2010-04-05,35.0306510925293,35.137748284800786,34.65094208543553,34.85540166150586,546623
