Date,Close GOOG,High GOOG,Low GOOG,Open GOOG,Volume GOOG
2022-01-03,144.21722412109375,144.68992389915405,142.6545223101215,143.62176468241535,25214000
2022-01-04,143.56314086914062,145.7436761113686,142.96633134791006,144.69044268636807,22928000
2022-01-05,136.84010314941406,143.44534125105673,136.7108664708533,143.32902824035205,49642000
2022-01-06,136.7382049560547,138.86059893208267,135.95536740096014,136.68502375765593,29050000
2022-01-07,136.19493103027344,137.43778738049954,134.9866136361773,137.0901073570235,19408000
2022-01-10,137.75515747070312,137.82076176669952,132.35376238137152,134.30068552581784,34096000
2022-01-11,139.1901397705078,139.5002926464123,136.0050773934451,137.3639890036401,23502000
2022-01-12,140.8109893798828,141.9703576538726,140.2781611226026,140.71805122028033,23642000
2022-01-13,138.30886840820312,142.33941464195388,138.09315539886168,141.0023610647504,26566000
2022-01-14,138.9604949951172,140.3661410686022,136.6875069861003,136.6875069861003,23826000
2022-01-18,135.4851531982422,136.57964530141035,134.81564044861102,135.79283357826662,27382000
2022-01-19,134.8504180908203,137.5816957115338,134.6993234263459,136.12933029299188,20796000
2022-01-20,132.7176055908203,137.09707564042736,132.35774514707785,135.70734144740595,21930000
2022-01-21,129.3232879638672,133.96420481535543,129.23283744929668,132.22603200558916,41920000
2022-01-24,129.6016387939453,130.0057461695041,123.905455538837,125.28281232059689,55148000
2022-01-25,125.98661041259766,128.5742335903817,125.63122471742528,127.67656958190479,36008000
2022-01-26,128.47630310058594,132.02271178801416,126.4021305407049,129.82080426110235,39630000
2022-01-27,128.35801696777344,131.82635313402716,128.1830620610087,130.58477093977476,30248000
2022-01-28,132.5018768310547,132.5823918794567,127.93402817889076,129.23181001689588,30518000
2022-01-31,134.89666748046875,135.04081493159504,131.4924031259101,133.40503032363344,34056000
2022-02-01,137.0637664794922,137.38336939690126,133.7730850887602,137.0205358997762,51204000
2022-02-02,147.1617431640625,151.20123875608627,144.69738782898725,150.96612508355778,89750000
2022-02-03,141.8075714111328,148.23656534422494,141.36470825242586,144.43644571019777,56930000
2022-02-04,142.17091369628906,143.6811777133773,138.99131230553942,142.17189965682851,49224000
2022-02-07,138.1170196533203,142.99650843734943,137.8794334805221,142.85982395780627,44610000
2022-02-08,138.390380859375,139.01079275423655,136.06421167709095,138.1699504137593,34256000
