Date,Close MSFT,High MSFT,Low MSFT,Open MSFT,Volume MSFT
2010-01-04,23.211442947387695,23.323937535491698,22.94145479158106,22.963954281380378,38409100
2010-01-05,23.21893882751465,23.32393500473928,22.978950017480308,23.136443568094183,49749600
2010-01-06,23.076444625854492,23.30893358924217,22.888953203344357,23.158939879055648,58182400
2010-01-07,22.836462020874023,23.023953494180226,22.641470716982003,22.971454680079496,50559700
2010-01-08,22.993947982788086,23.15893991992762,22.678962335197316,22.708961649465977,51197400
2010-01-11,22.70146369934082,23.068946746863247,22.588969122416998,23.031447600924537,68754700
2010-01-12,22.55146598815918,22.798954585800676,22.431471603269117,22.61146318060421,65912100
2010-01-13,22.76146125793457,22.888955495225353,22.506472783352997,22.69396422463673,51863500
2010-01-14,23.21893882751465,23.32393500473928,22.693963663176064,22.731461378326625,63228100
2010-01-15,23.143939971923828,23.428926284050267,23.0314439822292,23.308931896792195,79913200
2010-01-19,23.323938369750977,23.428933131677365,23.008952653525473,23.061450034488665,46575700
2010-01-20,22.941450119018555,23.203938391430214,22.731459215000026,23.106442052603537,54849500
2010-01-21,22.5064697265625,23.0389446608743,22.498969898276222,22.95644941061722,73086700
2010-01-22,21.719005584716797,22.64896429435358,21.629010503426805,22.49897058494222,102004600
2010-01-25,21.98899269104004,22.243981127193653,21.82400076253604,21.92899549608895,63373000
2010-01-26,22.123998641967773,22.386487047538093,21.81651267358294,21.899009397448488,66639900
2010-01-27,22.25148582458496,22.36398041092931,21.764008330128593,22.01149699226467,63949500
2010-01-28,21.868999481201172,22.401475866765008,21.666508400897484,22.37897638102703,117513700
2010-01-29,21.134035110473633,22.438975346697596,20.744052576306615,22.423975688357444,193888500
2010-02-01,21.306520462036133,21.35901781994247,20.93903752624607,21.29152080822126,85931100
2010-02-02,21.344022750854492,21.374022064928134,21.10403396004947,21.276527155080853,54413700
2010-02-03,21.471519470214844,21.59151531000941,21.089038184445787,21.19403293501406,61397900
2010-02-04,20.87904930114746,21.37402664587949,20.856549810770066,21.284030114816243,77850000
2010-02-05,21.0140380859375,21.209029328721776,20.676552967571254,20.99903842946656,80960100
2010-02-08,20.78904914855957,21.05903726427011,20.676554577162204,21.00653989298108,52820600
2010-02-09,21.006540298461914,21.254028932491725,20.811549036734473,20.97654098260564,59195800
2010-02-10,20.991540908813477,21.17903234397306,20.87904633380695,21.02154022505315,48591300
2010-02-11,21.08903694152832,21.29902643028879,20.774051277941506,20.94654305240792,65993700
2010-02-12,20.946542739868164,21.044037653845663,20.684054452388008,20.856546224280706,81117200
2010-02-16,21.360946655273438,21.376016450886212,21.112300776201888,21.19518177780253,51935600
2010-02-17,21.54178810119629,21.586996068129398,21.368489697006577,21.49658013426318,45882900
2010-02-18,21.82810401916504,21.873313416767107,21.481507260360107,21.54178502002771,42856500
2010-02-19,21.677406311035156,21.790426909771487,21.617128562566787,21.69247610743597,44451800
2010-02-22,21.647275924682617,21.80550597991563,21.58699815057849,21.7301584030016,36707100
2010-02-23,21.345882415771484,21.722618781342554,21.16504913275359,21.609598159098272,52266200
2010-02-24,21.571928024291992,21.692485007827955,21.383559803399294,21.48904698435133,43165900
2010-02-25,21.549325942993164,21.586999014389935,21.11231170396711,21.300679935222057,48735300
2010-02-26,21.602062225341797,21.737687540397268,21.481506709100294,21.586992426527832,40370600
2010-03-01,21.86577796936035,21.88838123045995,21.49657652100404,21.67740979547641,43805400
2010-03-02,21.44383430480957,22.07675154541261,21.27807081308411,21.91098805368715,93123900
2010-03-03,21.44383430480957,21.556856369809243,21.36095327751447,21.481508805521212,48442100
2010-03-04,21.571928024291992,21.586997826875923,21.30067876345863,21.443837576599538,42890600
2010-03-05,21.54178810119629,21.60960077016363,21.413697663939686,21.594530968807476,56001800
2010-03-08,21.571928024291992,21.797970751644513,21.4739771817674,21.48904698435133,39414500
2010-03-09,21.70001983642578,21.933597479757026,21.511651603688975,21.519186505454716,50271600
2010-03-10,21.82810401916504,21.93359117643471,21.700013600229486,21.745222997831554,44891400
2010-03-11,21.9863338470459,21.993868746581313,21.737687910917717,21.767826071924244,35349700
2010-03-12,22.05414581298828,22.137026831004214,21.880847440522587,22.091818872346877,31700200
2010-03-15,22.069217681884766,22.129495444794195,21.85824479313415,21.98633521895859,37512000
2010-03-16,22.129486083984375,22.21990197153483,22.00139571234238,22.167159130941293,36723500
2010-03-17,22.325393676757812,22.50622837492239,22.152095314579686,22.22744286595909,50385700
2010-03-18,22.310333251953125,22.393214294529667,22.227450772241063,22.3254016178808,43845200
2010-03-19,22.295255661010742,22.52883177835854,22.114422398825187,22.423346068034054,81332100
2010-03-22,22.302797317504883,22.378144892195753,22.14456726694052,22.227449742814017,37718200
2010-03-23,22.513763427734375,22.52883322650227,22.159631779499442,22.2952570941403,42026600
2010-03-24,22.340469360351562,22.491164502812993,22.3027962933039,22.393212229072446,33987700
2010-03-25,22.61171531677246,23.0336596155015,22.453485306539644,22.476090004325783,73168700
2010-03-26,22.348003387451172,22.754879393908226,22.295260520792368,22.671996925081345,55595500
2010-03-29,22.295255661010742,22.46855402429669,22.265116065412307,22.385671573536012,33336000
2010-03-30,22.430885314941406,22.498697981047687,22.22744731662256,22.325398147034246,34954800
2010-03-31,22.069217681884766,22.393209759313425,21.97880031895301,22.332931996403996,63760000
2010-04-01,21.971261978149414,22.25758238498156,21.564387501512943,22.114422181565487,74768100
2010-04-05,22.05414581298828,22.174701327497903,21.87331254122385,21.948658659941042,34331200
2010-04-06,22.091825485229492,22.287728614232293,21.835644580928562,21.963735033079026,47366800
2010-04-07,22.114418029785156,22.27264656401143,21.95618805842415,21.9712578532461,58318800
2010-04-08,22.543903350830078,22.589111310651518,22.07674964222479,22.091819441210312,63713800
2010-04-09,22.860366821289062,22.913109691856366,22.528838358549017,22.566512864050974,54752500
2010-04-12,22.845287322998047,22.973377713069183,22.76240488320648,22.792544474816076,37068800
2010-04-13,22.943248748779297,22.980921816246852,22.702136230726573,22.71720603256776,41374600
2010-04-14,23.222028732299805,23.357654050275283,23.101473213462743,23.19942547072732,68941200
2010-04-15,23.259700775146484,23.31997852820286,23.139143831898743,23.22202628127688,52745400
2010-04-16,23.109010696411133,23.342586860627755,23.056267830665636,23.19942806421435,88703100
2010-04-19,23.387794494628906,23.546023079900948,23.176821610464323,23.184356510306117,64970300
2010-04-20,23.628908157348633,23.68918592562206,23.455608316069096,23.52342098501862,52199500
2010-04-21,23.60630226135254,23.734392692096886,23.530954695537872,23.60630226135254,55343100
2010-04-22,23.651504516601562,23.756991658132,23.282303114082364,23.387790255612803,84847600
2010-04-23,23.3275146484375,23.794668365716333,23.093938508365664,23.448071605424907,126766600
2010-04-26,23.440532684326172,23.568623081835845,23.252164537231643,23.35765023972141,63649300
2010-04-27,23.244640350341797,23.546029237150204,23.169292769355803,23.31998793132779,68730900
2010-04-28,23.28984260559082,23.35765526811423,23.07133625523168,23.29737750555289,64557900
2010-04-29,23.357654571533203,23.68164807456384,23.109008628740998,23.30491171050685,52665200
2010-04-30,23.011062622070312,23.41793723309033,22.995992819441856,23.4104023317761,63214800
2010-05-03,23.252168655395508,23.402862337479363,23.041195775915913,23.109008435850956,43989500
2010-05-04,22.702131271362305,23.018589855218593,22.41581228460428,22.995986594529988,82085600
2010-05-05,22.49117088317871,22.67200424315057,22.37061530986414,22.430893096521427,66833800
2010-05-06,21.835643768310547,22.513769074461806,21.029428014775732,22.29526268606367,128613000
2010-05-07,21.25546646118164,21.813037583774364,20.584876146006586,21.79796778324261,173718100
2010-05-10,21.805503845214844,22.212378421301874,21.63220400413752,21.85824671275063,86653300
2010-05-11,21.760297775268555,22.34047228132577,21.52672156733554,21.609604050239593,63789400
2010-05-12,22.182239532470703,22.287725264102697,21.790433333358575,21.835641298752957,47146800
2010-05-13,22.031538009643555,22.40073940043049,21.986330057358494,22.046607806116874,45188800
2010-05-14,21.797964096069336,22.00893551928652,21.57945633672578,22.001402057430223,63334000
2010-05-17,21.805503845214844,22.024010216025292,21.43630233532899,21.94112918295564,46053300
