Date,Close UNH,High UNH,Low UNH,Open UNH,Volume UNH
2020-01-02,268.7110290527344,271.6507848583162,266.2214407019031,270.0706710190441,2543400
2020-01-03,265.9917297363281,268.1414142535738,261.23299764883427,263.9063308144767,2711400
2020-01-06,267.8382873535156,267.9393556546855,263.8604576970696,264.57701933634866,3079100
2020-01-07,266.2214660644531,267.78318870603545,264.1911845770084,267.0574593765318,2492900
2020-01-08,271.8345031738281,273.19414514563925,266.4511093262258,267.7923599514895,3379200
2020-01-09,270.29107666015625,273.0287232328293,269.83174168031337,270.35539028587397,2838200
2020-01-10,271.1270751953125,271.9906272178055,268.44454652288215,271.9906272178055,2477900
2020-01-13,262.6019287109375,270.50249943505077,261.8394166101783,270.4289901061225,6994900
2020-01-14,264.7974853515625,264.7974853515625,261.13200028205256,262.3722106398503,6056300
2020-01-15,272.3030700683594,275.2703852637477,265.4957197040636,265.51408301745806,6081300
2020-01-16,276.2808532714844,276.5105208100915,271.8620520715296,273.7637060197381,3710300
2020-01-17,274.1954345703125,276.2440787522806,271.81608264717465,275.6101942127886,4632200
2020-01-21,276.0879211425781,277.9344569956436,271.93554242683996,272.7439765920743,4962800
2020-01-22,276.1430969238281,277.55785700920984,273.16661417914776,277.42922971254234,3117600
2020-01-23,275.1049499511719,276.13385601358874,272.52348912241933,275.6102353452574,3169600
2020-01-24,268.9957580566406,275.53668391257617,267.8474205668884,274.0760019898813,3678500
2020-01-27,260.9849853515625,264.65047007927075,257.291941642277,264.5769888069269,4399400
2020-01-28,262.6202087402344,264.91688391798937,260.25921992896167,260.81962325083845,4341000
2020-01-29,259.8917541503906,262.91418649523683,258.0452463955268,260.9022968226659,3963800
2020-01-30,258.1279602050781,258.9180031117811,253.479491284255,258.9180031117811,4211800
2020-01-31,250.291748046875,256.1069190261359,249.12501875971063,255.5465435697768,5532600
2020-02-03,251.7340545654297,254.33390751440663,248.7943260875157,252.75379329462436,5646800
2020-02-04,257.99932861328125,260.44299464334125,254.3614025698153,254.72886503274106,4290200
2020-02-05,271.6783752441406,272.8450764208711,262.2252500999971,262.3722407108249,5761000
2020-02-06,268.6742858886719,273.09308742371854,266.41436498736505,272.84505655602555,3044000
2020-02-07,265.6977844238281,269.528651321312,265.4129989174748,269.0509248960057,3425900
2020-02-10,263.6859436035156,265.76214751995786,262.2344568182995,262.9510185540177,3147400
2020-02-11,267.14019775390625,267.856759609631,262.6478856323868,263.5206338059739,2992200
