Date,Close GOOGL,High GOOGL,Low GOOGL,Open GOOGL,Volume GOOGL
2020-01-02,68.02603149414062,68.02603149414062,66.92314864739065,67.01857701451475,27278000
2020-01-03,67.6701431274414,68.27800108614315,66.96437689252552,66.99817837874446,23408000
2020-01-06,69.47383880615234,69.49918423537012,67.14729221642911,67.17859859937674,46768000
2020-01-07,69.33964538574219,69.75664673328069,69.16320569581798,69.60555247399162,34330000
2020-01-08,69.83319091796875,70.1716609025224,69.21639136959885,69.3252356720482,35314000
2020-01-09,70.56629943847656,71.00814573820878,70.09015110455873,70.67265622101453,33200000
2020-01-10,71.02204895019531,71.31926999168405,70.55684428825862,71.04740196343042,26258000
2020-01-13,71.57225799560547,71.64432031834885,70.84362615810883,71.33467681431922,30730000
2020-01-14,71.10308074951172,71.70148932616486,70.96291488785906,71.57077301886883,26076000
2020-01-15,71.531005859375,71.60953726300379,71.15625445629315,71.22384985953249,21550000
2020-01-16,72.07573699951172,72.10257646007113,71.57076229441184,71.84163683885957,26080000
2020-01-17,73.53498077392578,73.5861721727902,72.39332915622886,72.69104316420244,52424000
2020-01-21,73.67068481445312,74.04991076264561,73.07226863438602,73.50914748350961,48930000
2020-01-22,73.75117492675781,74.5816965081557,73.69104210339849,74.04243499500288,28458000
2020-01-23,73.79193878173828,74.22981863138573,73.57474315642993,73.93409160833068,26650000
2020-01-24,72.8714599609375,74.26460156444028,72.72284565116522,74.19601267805629,29786000
2020-01-27,71.15973663330078,71.40079126440537,70.55187853238326,71.15029466332358,34132000
2020-01-28,72.09263610839844,72.30635072302904,71.09163568309349,71.65724377248847,29724000
2020-01-29,72.40078735351562,72.77057128358875,71.8386602655739,72.48826018621243,21566000
2020-01-30,72.27902221679688,72.32871958888423,71.32225869315518,71.47633343927552,27110000
2020-01-31,71.2119140625,73.04541551332758,70.92761599710025,72.95545516302556,43822000
2020-02-03,73.68806457519531,73.8719668380353,72.39631214725966,72.64680873440162,71636000
2020-02-04,71.83965301513672,72.92961273294455,70.67762338918578,72.29094881897467,95880000
2020-02-05,71.87146759033203,72.79244269680851,71.05785034224651,72.74423176817108,36376000
2020-02-06,73.35855102539062,73.63638764042776,72.09165094681634,72.16620080148579,37822000
2020-02-07,73.51460266113281,73.8197716529651,72.83368880237215,72.93209763057403,28360000
2020-02-10,74.98330688476562,74.99424288601814,73.32028388708478,73.42118025370303,38302000
2020-02-11,75.0528793334961,76.0379762977609,74.82375421140046,75.21242207126672,34852000
2020-02-12,75.47882843017578,75.56182675183665,74.98379622548907,75.3411501104178,31042000
2020-02-13,75.21839904785156,75.84265359210247,74.75169269042738,75.04990727608255,22914000
2020-02-14,75.48380279541016,75.5494112152161,74.82872725760205,75.2750556268564,23198000
2020-02-18,75.51908874511719,76.07177387697551,75.10010038845961,75.2656116722523,25642000
2020-02-19,75.7889633178711,76.08071636687094,75.59562667949956,75.90476963599502,22746000
