Date,Close SOXX,High SOXX,Low SOXX,Open SOXX,Volume SOXX
2019-01-02,49.36366653442383,49.80441470688911,47.99453832807653,48.044552127498946,2292000
2019-01-03,46.48473358154297,48.541551930278956,46.46285143165451,48.23834267336448,3070200
2019-01-04,48.582191467285156,48.750988453103105,47.18492832407399,47.353725309891935,2537400
2019-01-07,49.47931671142578,49.95444953205441,48.52280158185623,48.72598328601272,1679700
2019-01-08,49.26362609863281,50.01383289448276,48.63220249261763,50.01383289448276,1529700
2019-01-09,50.529598236083984,50.74215950443263,49.71062206283474,49.71062206283474,2304600
2019-01-10,50.97660446166992,51.06100295557077,49.99508070633881,50.02946541041947,1256700
2019-01-11,51.52362823486328,51.945620693046706,50.58899533909264,50.754665789848296,1290300
2019-01-14,50.68589401245117,51.02974102794821,50.426449061910816,50.94221600788823,853500
2019-01-15,50.83281707763672,51.37984224295999,50.623382316759795,50.820310947003954,882000
2019-01-16,50.3670539855957,51.226667918174684,50.3670539855957,50.92345867916248,856800
2019-01-17,50.83281707763672,51.22667433812504,49.73876316972168,50.01696376273636,3133500
2019-01-18,52.15506362915039,52.46764896187741,51.207924454675386,51.367345442681696,1574400
2019-01-22,50.6546516418457,51.651804720518946,50.27954991744888,51.651804720518946,2130600
2019-01-23,50.29828643798828,51.14227131759912,49.854415426048334,50.935963107634656,2110500
2019-01-24,53.220977783203125,53.4054038646021,51.423604228429646,51.44235984756988,5947200
2019-01-25,54.324405670166016,54.5494659367413,53.058431833191825,53.43353346990678,3126600
2019-01-28,53.252227783203125,53.680469693164184,52.18005616490496,52.34885313399263,2450400
2019-01-29,52.483272552490234,53.42728151781137,52.39262099108721,53.2553615703165,4396500
2019-01-30,54.00557327270508,54.19624885609124,52.81461820070647,53.42103681343435,3142800
2019-01-31,53.980560302734375,54.46507270969176,53.483548919463075,53.89616180583278,1481700
2019-02-01,54.62761688232422,54.89018839507274,54.018071782279655,54.043080466824954,1515000
2019-02-04,54.90269470214844,54.90894776802939,54.20250156877112,54.59636244208887,627600
2019-02-05,55.152767181396484,55.41846883918117,54.7589098603316,54.85581092402829,1295400
2019-02-06,56.637542724609375,57.08766680786272,55.834195599731935,55.834195599731935,2575800
2019-02-07,55.40908432006836,56.199929002388224,54.921448934473275,55.9436069667792,3459900
2019-02-08,55.31216812133789,55.42782476466587,54.346277213178475,54.64635989488369,1882800
2019-02-11,55.58412551879883,55.727913812065175,55.14337746464385,55.44033364826434,741600
2019-02-12,56.75944900512695,56.90011076039713,56.18741523279808,56.268687184630004,2019900
2019-02-13,56.940757751464844,57.38150228211666,56.77196075597484,57.04078533566124,906600
2019-02-14,57.09392547607422,57.51591798987637,56.68443909399124,56.746955443511915,1004700
2019-02-15,57.387760162353516,57.70347202788189,57.07830136283776,57.5471811502553,742500
2019-02-19,57.30961227416992,57.67846445323442,57.05641677051358,57.12518618463768,1182900
2019-02-20,57.797245025634766,58.15984772212861,57.44714846083534,57.44714846083534,1036800
2019-02-21,57.36899948120117,57.93165732283283,57.203329019169054,57.8034945217613,1152900
2019-02-22,57.98479461669922,58.069193114876015,57.594063876146556,57.81912415310562,880800
2019-02-25,58.463050842285156,59.15074134473359,58.422413073113376,58.85690809455745,2355600
2019-02-26,58.09733200073242,58.53495002851052,57.91602886189131,58.303636671426275,865200
2019-02-27,57.40024948120117,57.8628796731972,56.775075383046904,57.8628796731972,2977800
2019-02-28,57.43463897705078,57.6003094293263,56.968885791151486,57.156438393983436,1236000
2019-03-01,57.944156646728516,58.22548376322912,57.343991177588975,57.98166788286682,1433400
