Date,Close ANET,High ANET,Low ANET,Open ANET,Volume ANET
2014-06-06,3.4375,3.75,3.4375,3.453125,116081600
2014-06-09,3.450000047683716,3.5625,3.4375,3.515625,11470400
2014-06-10,3.75,3.75,3.453125,3.453125,15788800
2014-06-11,3.96875,3.96875,3.666249990463257,3.75,10568000
2014-06-12,4.125,4.239375114440918,3.9418749809265137,3.9781250953674316,11668800
2014-06-13,4.348750114440918,4.5,4.1875,4.279375076293945,17051200
2014-06-16,4.46875,4.46875,4.2271881103515625,4.451250076293945,6672000
2014-06-17,4.356874942779541,4.539374828338623,4.3125,4.493124961853027,4457600
2014-06-18,4.309999942779541,4.4375,4.242499828338623,4.379374980926514,3340800
2014-06-19,4.104374885559082,4.300624847412109,4.031875133514404,4.251874923706055,10425600
2014-06-20,4.071875095367432,4.28125,4.03125,4.065625190734863,4704000
2014-06-23,4.106874942779541,4.218124866485596,4.06374979019165,4.06374979019165,1864000
2014-06-24,4.017499923706055,4.171875,3.991874933242798,4.146874904632568,3084800
2014-06-25,4.030624866485596,4.084875106811523,3.875,3.9881250858306885,2979200
2014-06-26,3.9881250858306885,4.050624847412109,3.90625,4.050624847412109,1553600
2014-06-27,3.909374952316284,3.994374990463257,3.890625,3.994374990463257,3915200
2014-06-30,3.8993749618530273,4.074999809265137,3.8793749809265137,3.8793749809265137,3712000
2014-07-01,4.75,4.801875114440918,4.131249904632568,4.185625076293945,26531200
2014-07-02,4.709374904632568,5.033124923706055,4.574999809265137,4.921249866485596,18024000
2014-07-03,4.775625228881836,4.851687908172607,4.631249904632568,4.777500152587891,3902400
2014-07-07,4.510624885559082,4.830625057220459,4.501874923706055,4.697500228881836,5065600
2014-07-08,4.339375019073486,4.503125190734863,3.9462499618530273,4.495625019073486,18859200
2014-07-09,4.493750095367432,4.556250095367432,4.125625133514404,4.331250190734863,5952000
2014-07-10,4.233749866485596,4.383749961853027,4.195250034332275,4.21999979019165,4748800
2014-07-11,4.351874828338623,4.40625,4.271874904632568,4.300000190734863,3067200
2014-07-14,4.309374809265137,4.5,4.283124923706055,4.462500095367432,2096000
2014-07-15,4.168125152587891,4.409999847412109,4.125,4.340624809265137,3617600
